x y
0 3,10552532813747
0,0404040404040404 2,48370355218884
0,0808080808080808 2,68260354943714
0,121212121212121 2,59673007712236
0,161616161616162 2,61862140624905
0,202020202020202 2,41491962866578
0,242424242424242 2,22692361939559
0,282828282828283 1,62365255055755
0,323232323232323 1,73451238640722
0,363636363636364 1,81315998566493
0,404040404040404 1,64423564769372
0,444444444444444 1,2353743376231
0,484848484848485 1,08312415946222
0,525252525252525 0,827919942990197
0,565656565656566 0,951946833562521
0,606060606060606 1,25681837357379
0,646464646464647 1,10371270767132
0,686868686868687 0,787208649684609
0,727272727272727 0,728321514461211
0,767676767676768 0,732051591288257
0,808080808080808 0,679019681640392
0,848484848484849 0,302748990028129
0,888888888888889 0,0753493550805314
0,929292929292929 0,533181145504864
0,96969696969697 -0,0834428097497051
1,01010101010101 -0,370013631505522
1,05050505050505 0,0604558388973476
1,09090909090909 -0,119038444383349
1,13131313131313 -0,121748040595885
1,17171717171717 -0,498912466623138
1,21212121212121 -0,328639769891152
1,25252525252525 -0,501194093850684
1,29292929292929 -0,658413732669276
1,33333333333333 -0,410055117252815
1,37373737373737 -0,911064580491921
1,41414141414141 -0,158278806671024
1,45454545454545 -0,581920638830372
1,4949494949495 -0,684467942213098
1,53535353535354 -0,879390108275777
1,57575757575758 -0,92283325864228
1,61616161616162 -1,10215575807704
1,65656565656566 -0,780604668300247
1,6969696969697 -0,96728727160419
1,73737373737374 -1,33215460506015
1,77777777777778 -0,69266843257031
1,81818181818182 -0,954534041857745
1,85858585858586 -1,28592609796787
1,8989898989899 -0,814277411237872
1,93939393939394 -0,870308554037483
1,97979797979798 -0,716557700057492
2,02020202020202 -0,784997289431878
2,06060606060606 -0,855311204251522
2,1010101010101 -1,13272191244316
2,14141414141414 -1,01068012315525
2,18181818181818 -0,880918013511448
2,22222222222222 -1,02679306000865
2,26262626262626 -0,835777317397104
2,3030303030303 -0,620241757746937
2,34343434343434 -0,804847721101796
2,38383838383838 -0,849009832272034
2,42424242424242 -1,10646125222534
2,46464646464646 -0,68434476278902
2,50505050505051 -0,828467322766789
2,54545454545455 -1,15179276298333
2,58585858585859 -0,977130848701997
2,62626262626263 -0,71359607123798
2,66666666666667 -0,457442893790752
2,70707070707071 -0,270252410469242
2,74747474747475 -0,33097927538456
2,78787878787879 -0,349574180027775
2,82828282828283 -0,628689125285387
2,86868686868687 -0,125479810579136
2,90909090909091 0,0364215853041393
2,94949494949495 0,361155988214407
2,98989898989899 -0,0465334468191765
3,03030303030303 0,149645023817061
3,07070707070707 0,73115034189815
3,11111111111111 0,42332555847752
3,15151515151515 0,748932672169074
3,19191919191919 0,660725824003744
3,23232323232323 0,892318878474595
3,27272727272727 0,790345554047448
3,31313131313131 0,65389735375556
3,35353535353535 0,738326833145734
3,39393939393939 1,05888537111488
3,43434343434343 0,99496333599594
3,47474747474747 1,17279413169083
3,51515151515152 1,17451082226609
3,55555555555556 1,31191673551747
3,5959595959596 1,32457651215092
3,63636363636364 1,63444923549727
3,67676767676768 1,86761652099723
3,71717171717172 2,13841223719424
3,75757575757576 2,44876851888733
3,7979797979798 2,17567231661661
3,83838383838384 2,54188957993603
3,87878787878788 2,37532642150079
3,91919191919192 2,97533588941291
3,95959595959596 2,85438942957466
4 2,98876662853447
