(title "exper-xvel")	
(labels "v1" "v2")	

((xy/key/label "exper-xvel")	
1.00E+00	0.00E+00
1.00E+00	0.0001524
1.00E+00	0.0003048
1.00E+00	0.0004572
1.00E+00	0.0006096
1.00E+00	0.000762
1.00E+00	0.0009144
1.00E+00	0.0010668
1.00E+00	0.0012192
1.00E+00	0.0013716
1.00E+00	0.001524
1.00E+00	0.0016764
1.00E+00	0.0018288
1.00E+00	0.0019812
1.00E+00	0.0021336
1.00E+00	0.002286
1.00E+00	0.0024384
1.00E+00	0.0025908
1.00E+00	0.0027432
1.00E+00	0.0028956
1.00E+00	0.003048
1.00E+00	0.0032004
1.00E+00	0.0033528
1.00E+00	0.0035052
1.00E+00	0.0036576
0.999	0.00381
0.999	0.0039624
0.999	0.0041148
0.999	0.0042672
0.998	0.0044196
0.998	0.004572
0.998	0.0047244
0.998	0.0048768
0.998	0.0050292
0.997	0.0051816
0.997	0.005334
0.997	0.0054864
0.996	0.0056388
0.996	0.0057912
0.996	0.0059436
0.995	0.006096
0.995	0.0062484
0.995	0.0064008
0.994	0.0065532
0.994	0.0067056
0.994	0.006858
0.993	0.0070104
0.993	0.0071628
0.993	0.0073152
0.992	0.0074676
0.992	0.00762
0.991	0.0077724
0.991	0.0079248
0.991	0.0080772
0.99	0.0082296
0.99	0.008382
0.989	0.0085344
0.989	0.0086868
0.989	0.0088392
0.988	0.0089916
0.988	0.009144
0.987	0.0092964
0.987	0.0094488
0.986	0.0096012
0.986	0.0097536
0.985	0.009906
0.985	0.0100584
0.985	0.0102108
0.984	0.0103632
0.984	0.0105156
0.983	0.010668
0.983	0.0108204
0.982	0.0109728
0.982	0.0111252
0.981	0.0112776
0.981	0.01143
0.98	0.0115824
0.98	0.0117348
0.979	0.0118872
0.979	0.0120396
0.978	0.012192
0.978	0.0123444
0.977	0.0124968
0.977	0.0126492
0.976	0.0128016
0.976	0.012954
0.975	0.0131064
0.975	0.0132588
0.974	0.0134112
0.974	0.0135636
0.973	0.013716
0.972	0.0138684
0.972	0.0140208
0.971	0.0141732
0.971	0.0143256
0.97	0.014478
0.97	0.0146304
0.969	0.0147828
0.969	0.0149352
0.968	0.0150876
0.967	0.01524
0.967	0.0153924
0.966	0.0155448
0.966	0.0156972
0.965	0.0158496
0.964	0.016002
0.964	0.0161544
0.963	0.0163068
0.962	0.0164592
0.962	0.0166116
0.961	0.016764
0.96	0.0169164
0.96	0.0170688
0.959	0.0172212
0.958	0.0173736
0.958	0.017526
0.957	0.0176784
0.956	0.0178308
0.955	0.0179832
0.955	0.0181356
0.954	0.018288
0.953	0.0184404
0.952	0.0185928
0.951	0.0187452
0.951	0.0188976
0.95	0.01905
0.949	0.0192024
0.948	0.0193548
0.947	0.0195072
0.946	0.0196596
0.946	0.019812
0.945	0.0199644
0.944	0.0201168
0.943	0.0202692
0.942	0.0204216
0.941	0.020574
0.94	0.0207264
0.939	0.0208788
0.938	0.0210312
0.937	0.0211836
0.936	0.021336
0.935	0.0214884
0.934	0.0216408
0.933	0.0217932
0.932	0.0219456
0.931	0.022098
0.93	0.0222504
0.929	0.0224028
0.928	0.0225552
0.927	0.0227076
0.926	0.02286
0.925	0.0230124
0.924	0.0231648
0.923	0.0233172
0.921	0.0234696
0.92	0.023622
0.919	0.0237744
0.918	0.0239268
0.917	0.0240792
0.916	0.0242316
0.915	0.024384
0.913	0.0245364
0.912	0.0246888
0.911	0.0248412
0.91	0.0249936
0.908	0.025146
0.907	0.0252984
0.906	0.0254508
0.905	0.0256032
0.903	0.0257556
0.902	0.025908
0.901	0.0260604
0.9	0.0262128
0.898	0.0263652
0.897	0.0265176
0.896	0.02667
0.894	0.0268224
0.893	0.0269748
0.892	0.0271272
0.89	0.0272796
0.889	0.027432
0.887	0.0275844
0.886	0.0277368
0.885	0.0278892
0.883	0.0280416
0.882	0.028194
0.88	0.0283464
0.879	0.0284988
0.877	0.0286512
0.876	0.0288036
0.874	0.028956
0.873	0.0291084
0.871	0.0292608
0.87	0.0294132
0.868	0.0295656
0.867	0.029718
0.865	0.0298704
0.864	0.0300228
0.862	0.0301752
0.861	0.0303276
0.859	0.03048
0.857	0.0306324
0.855	0.0307848
0.854	0.0309372
0.852	0.0310896
0.851	0.031242
0.849	0.0313944
0.847	0.0315468
0.845	0.0316992
0.843	0.0318516
0.841	0.032004
0.839	0.0321564
0.836	0.0323088
0.834	0.0324612
0.832	0.0326136
0.829	0.032766
0.826	0.0329184
0.823	0.0330708
0.821	0.0332232
0.818	0.0333756
0.815	0.033528
0.811	0.0336804
0.808	0.0338328
0.805	0.0339852
0.801	0.0341376
0.798	0.03429
0.794	0.0344424
0.79	0.0345948
0.787	0.0347472
0.783	0.0348996
0.779	0.035052
0.774	0.0352044
0.77	0.0353568
0.766	0.0355092
0.762	0.0356616
0.757	0.035814
0.752	0.0359664
0.748	0.0361188
0.743	0.0362712
0.738	0.0364236
0.733	0.036576
0.728	0.0367284
0.725	0.0368808
0.722	0.0370332
0.715	0.0371856
0.704	0.037338
0.697	0.0374904
0.69	0.0376428
0.679	0.0377952
0.665	0.0379476
0.644	0.0381
0.627	0.0382524
0.613	0.0384048
0.598	0.0385572
0.574	0.0387096
0.539	0.038862
0.482	0.0390144
0.00E+00	0.0391668
)	
