(title "exper_k_over_u2")	
(labels "v1" "v2")	

((xy/key/label "exper_k_over_u2")	
1.40E-03	0.00E+00
1.40E-03	1.52E-04
1.41E-03	3.05E-04
1.41E-03	4.57E-04
1.41E-03	6.10E-04
1.41E-03	7.62E-04
1.41E-03	9.14E-04
1.41E-03	1.07E-03
1.41E-03	1.22E-03
1.41E-03	1.37E-03
1.41E-03	1.52E-03
1.41E-03	1.68E-03
1.41E-03	1.83E-03
1.42E-03	1.98E-03
1.42E-03	2.13E-03
1.42E-03	2.29E-03
1.42E-03	2.44E-03
1.43E-03	2.59E-03
1.43E-03	2.74E-03
1.43E-03	2.90E-03
1.44E-03	3.05E-03
1.44E-03	3.20E-03
1.44E-03	3.35E-03
1.45E-03	3.51E-03
1.45E-03	3.66E-03
1.46E-03	3.81E-03
1.46E-03	3.96E-03
1.46E-03	4.11E-03
1.47E-03	4.27E-03
1.47E-03	4.42E-03
1.48E-03	4.57E-03
1.49E-03	4.72E-03
1.49E-03	4.88E-03
1.50E-03	5.03E-03
1.50E-03	5.18E-03
1.51E-03	5.33E-03
1.51E-03	5.49E-03
1.52E-03	5.64E-03
1.53E-03	5.79E-03
1.53E-03	5.94E-03
1.54E-03	6.10E-03
1.55E-03	6.25E-03
1.56E-03	6.40E-03
1.56E-03	6.55E-03
1.57E-03	6.71E-03
1.58E-03	6.86E-03
1.59E-03	7.01E-03
1.60E-03	7.16E-03
1.60E-03	7.32E-03
1.61E-03	7.47E-03
1.62E-03	7.62E-03
1.63E-03	7.77E-03
1.64E-03	7.92E-03
1.65E-03	8.08E-03
1.66E-03	8.23E-03
1.67E-03	8.38E-03
1.68E-03	8.53E-03
1.69E-03	8.69E-03
1.70E-03	8.84E-03
1.70E-03	8.99E-03
1.71E-03	9.14E-03
1.72E-03	9.30E-03
1.73E-03	9.45E-03
1.74E-03	9.60E-03
1.75E-03	9.75E-03
1.76E-03	9.91E-03
1.77E-03	1.01E-02
1.78E-03	1.02E-02
1.79E-03	1.04E-02
1.79E-03	1.05E-02
1.80E-03	1.07E-02
1.81E-03	1.08E-02
1.82E-03	1.10E-02
1.83E-03	1.11E-02
1.84E-03	1.13E-02
1.85E-03	1.14E-02
1.86E-03	1.16E-02
1.87E-03	1.17E-02
1.88E-03	1.19E-02
1.89E-03	1.20E-02
1.89E-03	1.22E-02
1.90E-03	1.23E-02
1.91E-03	1.25E-02
1.92E-03	1.26E-02
1.93E-03	1.28E-02
1.94E-03	1.30E-02
1.95E-03	1.31E-02
1.96E-03	1.33E-02
1.97E-03	1.34E-02
1.98E-03	1.36E-02
1.99E-03	1.37E-02
2.00E-03	1.39E-02
2.00E-03	1.40E-02
2.01E-03	1.42E-02
2.02E-03	1.43E-02
2.03E-03	1.45E-02
2.04E-03	1.46E-02
2.05E-03	1.48E-02
2.06E-03	1.49E-02
2.07E-03	1.51E-02
2.08E-03	1.52E-02
2.09E-03	1.54E-02
2.10E-03	1.55E-02
2.11E-03	1.57E-02
2.12E-03	1.58E-02
2.13E-03	1.60E-02
2.14E-03	1.62E-02
2.15E-03	1.63E-02
2.16E-03	1.65E-02
2.17E-03	1.66E-02
2.18E-03	1.68E-02
2.19E-03	1.69E-02
2.20E-03	1.71E-02
2.22E-03	1.72E-02
2.23E-03	1.74E-02
2.24E-03	1.75E-02
2.25E-03	1.77E-02
2.27E-03	1.78E-02
2.28E-03	1.80E-02
2.29E-03	1.81E-02
2.31E-03	1.83E-02
2.32E-03	1.84E-02
2.34E-03	1.86E-02
2.35E-03	1.87E-02
2.37E-03	1.89E-02
2.38E-03	1.91E-02
2.40E-03	1.92E-02
2.41E-03	1.94E-02
2.43E-03	1.95E-02
2.44E-03	1.97E-02
2.46E-03	1.98E-02
2.47E-03	2.00E-02
2.49E-03	2.01E-02
2.51E-03	2.03E-02
2.53E-03	2.04E-02
2.54E-03	2.06E-02
2.56E-03	2.07E-02
2.58E-03	2.09E-02
2.60E-03	2.10E-02
2.61E-03	2.12E-02
2.63E-03	2.13E-02
2.65E-03	2.15E-02
2.67E-03	2.16E-02
2.69E-03	2.18E-02
2.71E-03	2.19E-02
2.73E-03	2.21E-02
2.75E-03	2.23E-02
2.77E-03	2.24E-02
2.79E-03	2.26E-02
2.81E-03	2.27E-02
2.83E-03	2.29E-02
2.85E-03	2.30E-02
2.87E-03	2.32E-02
2.89E-03	2.33E-02
2.92E-03	2.35E-02
2.94E-03	2.36E-02
